Anderson,|||R.|||P.|||2003.|||Real|||vs|||artefactual|||absences|||in|||species normal hasYear noLongAuthorLine other TOKEN-Anderson, A An And Ande , n, on, son, InitCap nonNum 21 maleName no lastName no placeName no TOKEN-R. R R. R. R. . R. R. R. singleCap nonNum 0 no no no no no no TOKEN-species s sp spe spec s es ies cies others nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_left xmlPara_new unknown
distributions:|||tests|||forOryzomys|||albigularis(Rodentia: normal noYear noLongAuthorLine colon TOKEN-distributions: d di dis dist : s: ns: ons: others nonNum 0 no no no no no no TOKEN-tests t te tes test s ts sts ests others nonNum 0 no no no no no no TOKEN-albigularis(Rodentia: a al alb albi : a: ia: tia: others nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_right xmlPara_continue unknown
Muridae)|||in|||Venezuala.-/J.|||Biogeogr.|||30:|||591-/605. normal noYear noLongAuthorLine period TOKEN-Muridae) M Mu Mur Muri ) e) ae) dae) InitCap nonNum 0 no no no no no no TOKEN-in i in in in n in in in others nonNum 4 no no lastName no no no TOKEN-591-/605. 5 59 591 591- . 5. 05. 605. others 4+dig 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_new unknown
Anderson,|||R.|||P.,|||Peterson,|||A.|||T.|||and|||Go´mez-Laverde,|||M.|||2002. normal hasYear noLongAuthorLine period TOKEN-Anderson, A An And Ande , n, on, son, InitCap nonNum 21 maleName no lastName no placeName no TOKEN-R. R R. R. R. . R. R. R. singleCap nonNum 0 no no no no no no TOKEN-2002. 2 20 200 2002 . 2. 02. 002. others year 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_left xmlPara_new unknown
Using|||niche-based|||GIS|||modeling|||to|||test|||geographic|||predic- normal noYear noLongAuthorLine hyphen TOKEN-Using U Us Usi Usin g ng ing sing InitCap nonNum 0 no no no no no no TOKEN-niche-based n ni nic nich d ed sed ased others nonNum 0 no no no no no no TOKEN-predic- p pr pre pred - c- ic- dic- others nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
tions|||of|||competitive|||exclusion|||and|||competitive|||release|||in normal noYear noLongAuthorLine other TOKEN-tions t ti tio tion s ns ons ions others nonNum 0 no no no no no no TOKEN-of o of of of f of of of others nonNum 48 no no no no placeName publisherName TOKEN-in i in in in n in in in others nonNum 4 no no lastName no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
South|||American|||pocket|||mice.-/Oikos|||98:|||3-/16. normal noYear noLongAuthorLine period TOKEN-South S So Sou Sout h th uth outh InitCap nonNum 4 no no lastName no no no TOKEN-American A Am Ame Amer n an can ican InitCap nonNum 36 no no lastName no no publisherName TOKEN-3-/16. 3 3- 3-/ 3-/1 . 6. 16. /16. others 3dig 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_new unknown
Araijo,|||M.|||B.|||and|||Williams,|||P.|||H.|||2000.|||Selecting|||areas|||for normal hasYear noLongAuthorLine other TOKEN-Araijo, A Ar Ara Arai , o, jo, ijo, InitCap nonNum 0 no no no no no no TOKEN-M. M M. M. M. . M. M. M. singleCap nonNum 0 no no no no no no TOKEN-for f fo for for r or for for others nonNum 32 no no no no no publisherName xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_left xmlPara_new unknown
species|||persistence|||using|||occurrence|||data.-Biol.|||Conserv. normal noYear noLongAuthorLine period TOKEN-species s sp spe spec s es ies cies others nonNum 0 no no no no no no TOKEN-persistence p pe per pers e ce nce ence others nonNum 0 no no no no no no TOKEN-Conserv. C Co Con Cons . v. rv. erv. InitCap nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_right xmlPara_continue unknown
96:|||331|||345. short noYear noLongAuthorLine period TOKEN-96: 9 96 96: 96: : 6: 96: 96: others 2dig 0 no no no no no no TOKEN-331 3 33 331 331 1 31 331 331 others 3dig 0 no no no no no no TOKEN-345. 3 34 345 345. . 5. 45. 345. others 3dig 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_right xmlPara_continue unknown
Araijo,|||M.|||B.|||et|||al.|||2004.|||Would|||climate|||change|||drive|||species normal hasYear noLongAuthorLine other TOKEN-Araijo, A Ar Ara Arai , o, jo, ijo, InitCap nonNum 0 no no no no no no TOKEN-M. M M. M. M. . M. M. M. singleCap nonNum 0 no no no no no no TOKEN-species s sp spe spec s es ies cies others nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_left xmlPara_new unknown
out|||of|||reserves?|||An|||assessment|||of|||existing|||reserve-selection normal noYear noLongAuthorLine other TOKEN-out o ou out out t ut out out others nonNum 0 no no no no no no TOKEN-of o of of of f of of of others nonNum 48 no no no no placeName publisherName TOKEN-reserve-selection r re res rese n on ion tion others nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_right xmlPara_continue unknown
