BuDowLE,|||B.,|||R.|||CHAKRABoRTY,|||A.|||M.|||GIUSTI,|||A.|||J.|||EISENBERG normal noYear isLongAuthorLine other TOKEN-BuDowLE, B Bu BuD BuDo , E, LE, wLE, InitCap nonNum 0 no no no no no no TOKEN-B., B B. B., B., , ., B., B., singleCap nonNum 32 no no no no no publisherName TOKEN-EISENBERG E EI EIS EISE G RG ERG BERG AllCap nonNum 20 no no lastName no placeName no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_left xmlPara_new unknown
and|||R.|||C.|||ALLEN,|||1991|||Analysis|||of|||the|||VNTR|||locus|||DIS80 normal hasYear noLongAuthorLine other TOKEN-and a an and and d nd and and others nonNum 0 no no no no no no TOKEN-R. R R. R. R. . R. R. R. singleCap nonNum 0 no no no no no no TOKEN-DIS80 D DI DIS DIS8 0 80 S80 IS80 others hasDig 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
by|||the|||PCR|||followed|||by|||high-resolution|||PAGE.|||Am.|||J.|||Hum. normal noYear noLongAuthorLine period TOKEN-by b by by by y by by by others nonNum 0 no no no no no no TOKEN-the t th the the e he the the others nonNum 32 no no no no no publisherName TOKEN-Hum. H Hu Hum Hum. . m. um. Hum. InitCap nonNum 4 no no lastName no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
Genet.|||48:|||137-144. short noYear noLongAuthorLine period TOKEN-Genet. G Ge Gen Gene . t. et. net. InitCap nonNum 4 no no lastName no no no TOKEN-48: 4 48 48: 48: : 8: 48: 48: others 2dig 0 no no no no no no TOKEN-137-144. 1 13 137 137- . 4. 44. 144. others possiblePage 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
CHAKRABORTY,|||R.,|||and|||S.|||P.|||DAIGER,|||1991|||Polymorphisrns|||at normal hasYear noLongAuthorLine other TOKEN-CHAKRABORTY, C CH CHA CHAK , Y, TY, RTY, AllCap nonNum 0 no no no no no no TOKEN-R., R R. R., R., , ., R., R., singleCap nonNum 0 no no no no no no TOKEN-at a at at at t at at at others nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_left xmlPara_new unknown
VNTR|||loci|||suggest|||homogeneity|||of|||the|||white|||population|||of normal noYear noLongAuthorLine other TOKEN-VNTR V VN VNT VNTR R TR NTR VNTR AllCap nonNum 0 no no no no no no TOKEN-loci l lo loc loci i ci oci loci others nonNum 0 no no no no no no TOKEN-of o of of of f of of of others nonNum 48 no no no no placeName publisherName xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
Utah.|||Hum.|||Biol.|||63:|||571-587. short noYear noLongAuthorLine period TOKEN-Utah. U Ut Uta Utah . h. ah. tah. InitCap nonNum 16 no no no no placeName no TOKEN-Hum. H Hu Hum Hum. . m. um. Hum. InitCap nonNum 4 no no lastName no no no TOKEN-571-587. 5 57 571 571- . 7. 87. 587. others possiblePage 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
CHAKRABORTY,|||R.,|||and|||L.|||JIN,|||1992|||Heterozygote|||deficiency, normal hasYear noLongAuthorLine comma TOKEN-CHAKRABORTY, C CH CHA CHAK , Y, TY, RTY, AllCap nonNum 0 no no no no no no TOKEN-R., R R. R., R., , ., R., R., singleCap nonNum 0 no no no no no no TOKEN-deficiency, d de def defi , y, cy, ncy, others nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_left xmlPara_new unknown
population|||substructure|||and|||their|||implications|||in|||DNA|||finger- normal noYear noLongAuthorLine hyphen TOKEN-population p po pop popu n on ion tion others nonNum 0 no no no no no no TOKEN-substructure s su sub subs e re ure ture others nonNum 0 no no no no no no TOKEN-finger- f fi fin fing - r- er- ger- others nonNum 4 no no lastName no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
printing.|||Hum.|||Genet.|||88:|||267-272. short noYear noLongAuthorLine period TOKEN-printing. p pr pri prin . g. ng. ing. others nonNum 0 no no no no no no TOKEN-Hum. H Hu Hum Hum. . m. um. Hum. InitCap nonNum 4 no no lastName no no no TOKEN-267-272. 2 26 267 267- . 2. 72. 272. others possiblePage 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
CHAKRABORTY,|||R.,|||and|||J.|||NEEL,|||1989|||Description|||and|||validation normal hasYear noLongAuthorLine other TOKEN-CHAKRABORTY, C CH CHA CHAK , Y, TY, RTY, AllCap nonNum 0 no no no no no no TOKEN-R., R R. R., R., , ., R., R., singleCap nonNum 0 no no no no no no TOKEN-validation v va val vali n on ion tion others nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_left xmlPara_new unknown
